418,686
432,666
432,666
433,618
433,618
433,586
433,586
422,554
422,554
414,518
414,518
410,463
410,463
412,393
412,393
425,340
425,340
434,318
434,318
439,276
439,276
466,222
506,178
465,222
507,177
574,154
574,154
633,154
633,154
670,156
670,156
713,162
713,162
747,177
747,177
775,208
775,208
798,242
798,242
815,289
815,289
815,313
815,313
818,327
818,327
836,362
836,362
846,419
846,419
850,436
850,436
849,465
849,465
844,505
843,506
835,542
820,573
834,542
819,572
819,611
819,611
815,661
815,661
835,688
603,686
601,666
600,665
602,647
602,647
620,652
620,652
626,652
628,652
641,651
641,651
651,645
651,645
650,658
650,658
649,670
649,670
649,688
798,265
782,242
780,239
759,225
784,246
777,236
761,227
708,205
708,205
658,192
658,192
616,190
615,192
573,194
573,194
534,204
497,217
536,205
496,217
465,236
465,236
447,261
447,261
443,287
443,287
448,306
448,306
457,321
457,321
472,338
472,338
493,352
493,352
515,362
542,369
510,359
538,368
567,375
567,375
610,379
610,379
610,379
638,377
608,380
636,377
667,374
667,374
696,374
696,374
729,365
729,365
755,354
755,354
773,344
773,344
788,330
788,330
799,312
799,312
806,291
806,291
800,269
795,262
802,274
